RA	DEC	Name	Bensby	Joyce_age	RA_h	RA_m	RA_sec	DEC_d	DEC_m	DEC_s	Teff	error_Teff	log(g)	error_log(g)	[Fe/H]	error_[Fe/H]	Mass	lower_mass_limit	upper_mass_limit	Age_(gyr)	lower_age_limit	upper_age_limit	microlense_Teff	[Mg/Fe]	error_[Mg/Fe]	[Si/Fe]	error_[Si/Fe]	[Ca/Fe]	error_[Ca/Fe]	[Ti/Fe]	error_[Ti/Fe]
271.27925	-26.77022	MOA-2010-BLG-049S	12.30	15.9	18	5	7.02	-26	46	12.79	5694	61	4.10	0.12	-0.40	0.07	0.88	0.87	1.01	12.30	8.80	13.40	5861	0.31	0.06	0.14	0.05	0.28	0.09	0.27	0.08
269.63304	-29.20497	OGLE-2009-BLG-076S	11.60	14.4	17	58	31.93	-29	12	17.90	5854	108	4.30	0.15	-0.72	0.11	0.81	0.79	0.88	11.60	6.90	13.30	5828	0.36	0.08	0.24	0.07	0.27	0.05	0.28	0.05
268.00688	-30.40712	MOA-2010-BLG-078S	14.60	11.95	17	52	1.65	-30	24	25.63	5205	189	3.60	0.26	-1.00	0.34	0.93	0.86	1.19	14.60	4.80	99.90	5317	0.45	0.29	0.33	0.29	0.25	0.15	0.31	0.10
268.54579	-35.22722	MOA-2006-BLG-099S	3.50	6.69	17	54	10.99	-35	13	38.00	5747	147	4.50	0.16	0.44	0.21	1.04	0.98	1.13	3.50	1.70	7.00	5568	0.04	0.16	0.01	0.14	-0.06	0.15	-0.01	0.09
271.63688	-31.50317	MOA-2009-BLG-133S	14.60	15.13	18	6	32.85	-31	30	11.40	5529	73	4.30	0.14	-0.69	0.07	0.75	0.73	0.78	14.60	6.10	99.90	5790	0.43	0.06	0.24	0.07	0.23	0.11	0.24	0.03
271.20767	-29.70922	OGLE-2008-BLG-209S	7.20	11.72	18	4	49.84	-29	42	33.20	5248	77	3.80	0.14	-0.31	0.09	0.98	0.94	1.22	7.20	5.00	12.20	5608	0.33	0.11	0.20	0.09	0.19	0.10	0.28	0.07
271.82867	-27.79519	OGLE-2006-BLG-265S	8.70	10.97	18	7	18.88	-27	47	42.70	5462	101	4.20	0.13	0.46	0.19	0.99	0.93	1.05	8.70	5.80	12.10	5764	0.09	0.12	0.07	0.13	-0.04	0.11	-0.07	0.08
269.20067	-30.01096	MOA-2010-BLG-285S	11.60	15.05	17	56	48.16	-30	0	39.47	6057	134	4.20	0.19	-1.21	0.10	0.79	0.77	0.87	11.60	8.10	13.40	6384	0.40	0.08	0.27	0.06	0.32	0.05	0.36	0.07
268.56054	-34.77806	MOA-2008-BLG-310S	4.90	6.97	17	54	14.53	-34	46	41.00	5675	91	4.20	0.11	0.41	0.11	1.09	1.04	1.17	4.90	4.20	8.20	5731	0.11	0.11	0.03	0.08	0.01	0.10	0.08	0.06
269.22354	-31.39719	MOA-2008-BLG-311S	0.90	2.65	17	56	53.65	-31	23	49.90	5947	81	4.50	0.10	0.35	0.08	1.17	1.12	1.20	0.90	0.80	2.90	5838	0.02	0.07	0.05	0.05	-0.02	0.08	0.10	0.07
271.35179	-26.42194	OGLE-2007-BLG-349S	13.10	14.04	18	5	24.43	-26	25	19.00	5237	119	4.20	0.15	0.42	0.26	0.90	0.86	0.96	13.10	6.30	13.50	5450	0.05	0.25	0.12	0.18	-0.04	0.18	0.04	0.07
267.23500	-34.22492	MOA-2009-BLG-456S	8.70	10.39	17	48	56.40	-34	13	29.70	5662	89	4.20	0.11	0.13	0.10	0.98	0.94	1.05	8.70	6.30	11.10	5846	0.10	0.08	0.00	0.08	0.02	0.08	0.06	0.06
270.61442	-27.44706	MOA-2009-BLG-475S	8.70	11.41	18	2	27.46	-27	26	49.40	5836	189	4.40	0.27	-0.52	0.20	0.86	0.80	0.96	8.70	4.30	12.30	6157	0.24	0.12	0.18	0.13	0.23	0.18	0.31	0.06
269.44446	-28.64914	MOA-2009-BLG-489S	13.60	15.77	17	57	46.67	-28	38	56.90	5543	61	4.10	0.11	-0.21	0.07	0.91	0.90	1.03	13.60	9.10	13.80	5251	0.25	0.06	0.09	0.06	0.13	0.08	0.12	0.06
268.94221	-28.80708	MOA-2009-BLG-493S	13.10	13.41	17	55	46.13	-28	48	25.50	5420	119	4.40	0.22	-0.74	0.15	0.73	0.69	0.77	13.10	4.30	99.90	5829	0.41	0.13	0.22	0.21	0.21	0.33	0.33	0.07
269.51288	-27.51825	OGLE-2007-BLG-514S	6.40	9.77	17	58	3.09	-27	31	5.70	5644	111	4.10	0.21	0.29	0.23	1.02	0.97	1.23	6.40	4.60	10.30	5700	0.17	0.19	0.11	0.12	0.04	0.13	-0.09	0.09
271.27200	-28.57825	MACHO-1999-BLG-022S	13.10	14.54	18	5	5.28	-28	34	41.70	5632	110	4.10	0.18	-0.49	0.17	0.87	0.84	1.03	13.10	7.60	13.50	9999	0.32	0.13	0.24	0.16	0.15	0.11	0.27	0.23
